title,year,km,price,fuel,transmission,power,body_type,listing_date,url,search_query,search_page
Škoda Kodiaq 2.0 TDI SCR EVO Style DSG 110kW150HP A7,2021.0,160000.0,22190,Diesel,7-st. automatická,110.0,SUV / Off-road,2026-07-27T06:39:29.160Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-dsg-110kw150hp-a7/Ae-oG16aRFS/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR Style DSG 4x4 110kW150HP A7,2018.0,196200.0,19899,Diesel,Automatická,110.0,SUV / Off-road,2026-07-26T18:12:46.824Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-style-dsg-4x4-110kw150hp-a7/AeSxmRccWw6/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,2023.0,85200.0,35490,Diesel,Automatická,147.0,SUV / Off-road,2026-07-28T08:05:57.490Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/Ae1IsmNPuTJ/,Škoda Kodiaq 2.0 TDI,2
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,2018.0,114200.0,21600,Diesel,7-st. automatická,140.0,SUV / Off-road,2026-07-05T11:55:11.135Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AecQZ_n2wBT/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI SCR 190k Style DSG 4x4 140kW190HP A7,2017.0,203000.0,17800,Diesel,Automatická,140.0,SUV / Off-road,2026-07-21T15:04:36.195Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-style-dsg-4x4-140kw190hp-a7/AeoN5sziqj7/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI SCR EVO 200 Sportline 4x4 DSG 147kW201HP A7,2021.0,90150.0,30190,Diesel,Automatická,147.0,SUV / Off-road,2026-08-06T19:59:45.408Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg-147kw201hp-a7/AeZw5jBniGq/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI SCR RS DSG 4x4 176kW239HP A7,2020.0,169000.0,26490,Diesel,7-st. automatická,176.0,SUV / Off-road,2026-07-18T12:52:17.953Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-rs-dsg-4x4-176kw239hp-a7/AeSzuwP3Q90/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2025 Śkoda Kodiaq Sportline 2.0 TDI 4x4 - Fully loaded,2025.0,13000.0,47000,Diesel,Automatická,142.0,SUV / Combi,2026-07-20T06:16:28.610Z,https://www.autobazar.eu/detail/skoda-kodiaq-2025-skoda-kodiaq-sportline-20-tdi-4x4-fully-loaded/AeyfUh8YgtI/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 7 miestne top stav bez škrabancov 2 sady pneu letne zimné,2023.0,68500.0,27999,Diesel,Automatická,110.0,SUV,2026-07-17T15:03:35.785Z,https://www.autobazar.eu/detail/skoda-kodiaq-2023/AeZVReqsDMa/,Škoda Kodiaq 2.0 TDI,3
Škoda Kodiaq 2.0 TDI SCR 190k Scout 4x4 DSG 140kW190HP A7,2020.0,148000.0,25900,Diesel,7-st. automatická,140.0,SUV / Off-road,2026-08-08T16:09:14.950Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-scout-4x4-dsg-140kw190hp-a7/AeiAX4qS7CE/,Škoda Kodiaq 2.0 TDI,3
