title,year,km,price,fuel,transmission,power,body_type,listing_date,url,source_page,kept,filter_reason
Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,2024,37200,36500,Diesel,7-st. automatická,147,SUV / Off-road,2026-08-08T14:07:16.751Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/AeU1BcFdPLq/,2,True,
Škoda Kodiaq Škoda KodiaQ rv. 2020,2020,148000,29900,Diesel,Automatická,176,SUV / Combi,2026-08-08T10:58:26.775Z,https://www.autobazar.eu/detail/skoda-kodiaq-skoda-kodiaq-rv-2020/AeiKwMWMpZz/,3,True,
"Škoda Kodiaq 2.0 TDI Sportline 4x4 DSG 147kW201HP A7, 7miestne",2024,21052,48900,Diesel,7-st. automatická,142,SUV,2026-08-06T05:08:02.503Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg-147kw201hp-a7/AeFwxoljVVj/,3,True,
Škoda Kodiaq 2.0 TDI SCR EVO 200 LK 4x4 DSG 147kW201HP A7,2022,51000,19700,Diesel,7-st. automatická,147,SUV / Off-road,2026-08-09T15:58:55.778Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-lk-4x4-dsg-147kw201hp-a7/Ae6W0jMCEOv/,3,True,
Škoda Kodiaq 2.0 TDI SCR EVO Sportline DSG 110kW150HP A7,2023,112000,27500,Diesel,Automatická,110,SUV / Off-road,2026-08-06T05:56:14.361Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-sportline-dsg-110kw150hp-a7/Ae7dE07zp2G/,3,True,
Škoda Kodiaq 2.0 TSI RS 4x4 DSG 180kW245HP A7,2023,29500,45000,Benzín,7-st. automatická,180,SUV / Off-road,2026-08-05T20:03:41.143Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tsi-rs-4x4-dsg-180kw245hp-a7/AeGR7JZ6laL/,3,False,"fuel_mismatch(got=Benzín, want=Diesel)"
Škoda Kodiaq 1.5 TSI ACT Sportline 4x4 DSG 110kW150HP A7,2019,124000,24000,Benzín,7-st. automatická,110,SUV / Off-road,2026-08-05T11:22:58.206Z,https://www.autobazar.eu/detail/skoda-kodiaq-15-tsi-act-sportline-4x4-dsg-110kw150hp-a7/AejQzi82aV6/,3,False,"fuel_mismatch(got=Benzín, want=Diesel)"
"Škoda Kodiaq 2,0tdi, 4x4",2019,154000,20480,Diesel,7-st. automatická,110,Combi,2026-07-06T19:00:22.524Z,https://www.autobazar.eu/detail/skoda-kodiaq-20tdi-4x4/Aek7zjEyofD/,3,True,
Škoda Kodiaq 2.0 TDI SCR EVO Final Edition DSG 110kW150HP A7,2024,22000,32850,Diesel,7-st. automatická,110,SUV / Off-road,2026-08-10T13:41:57.092Z,https://www.autobazar.eu/detail/skoda-kodiaq-2024/Aet6_0kH4UK/,3,True,
Škoda Kodiaq 2.0 TDI SCR 190k Sportline DSG 4x4,2019,175550,24999,Diesel,7-st. automatická,140,SUV,2026-08-10T10:36:41.126Z,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-190k-sportline-dsg-4x4/Ae_Vx3YlDhG/,3,True,
Škoda Kodiaq Śkoda Kodiaq,2019,179000,19700,Benzín,Automatická,110,Combi,2026-06-05T16:09:17.605Z,https://www.autobazar.eu/detail/skoda-kodiaq-skoda-kodiaq/AejD6OHKGWu/,3,False,"fuel_mismatch(got=Benzín, want=Diesel)"
