source,listing_id,title,brand,model,variant_engine,fuel,year,km,power_kw,transmission,body_type,price,url,year_source,km_source,power_source,transmission_source,fuel_source,body_type_source,engine_source,rule_model,rule_fuel,rule_variant,rule_year,rule_km,rule_power,rule_transmission
autobazar,AmhzqLbx-PE,Škoda Kodiaq 2.0 TDI SCR EVO 200 Sportline 4x4 DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2022,117731,147,Automatic,SUV,31999,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-200-sportline-4x4-dsg/AmhzqLbx-PE/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmlzFENNXw2,Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / 7-míst / Tažné zařízení / Panorama / Matrix-Beam ...,Škoda,Kodiaq,2.0 TDI,Diesel,2023,121772,147,Automatic,SUV,29992,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-7-mist-tazne-zarizeni-panorama-matrix-beam/AmlzFENNXw2/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmWbX_WmpTX,Škoda Kodiaq 2.0 TDI SCR Style DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2018,163000,110,Automatic,SUV,18850,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-style-dsg/AmWbX_WmpTX/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Am3O40l21Zv,Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2022,176000,110,Automatic,SUV,19900,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg/Am3O40l21Zv/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmzmHM4IoTV,Škoda Kodiaq 2.0 TDI SCR EVO Ambition DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2023,89900,110,Automatic,SUV,23500,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-ambition-dsg/AmzmHM4IoTV/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmKE8SAyoq9,Škoda Kodiaq 2.0Tdi Top stav 1 majiteľ Virtual 4x4 Nezávislé kurenie,Škoda,Kodiaq,2.0 TDI,Diesel,2022,122000,110,Automatic,SUV,24500,https://www.autobazar.eu/detail/skoda-kodiaq-20tdi-top-stav-1-majitel-virtual-4x4/AmKE8SAyoq9/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmdV6On2Den,Škoda Kodiaq 2.0 TDI L&K 110KW EVO 360•/Webasto/Matrix/Ťažné/Ventilovane/Masáž/Samopark,Škoda,Kodiaq,2.0 TDI,Diesel,2022,152000,110,Automatic,SUV,28800,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-landk-4x4-110kw-evo-tazne-360-vetrane-canton/AmdV6On2Den/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmFO4WSw31G,Škoda Kodiaq 2.0 TDI SCR EVO Style 4x4 DSG,Škoda,Kodiaq,2.0 TDI,Diesel,2023,144980,110,Automatic,SUV,25690,https://www.autobazar.eu/detail/skoda-kodiaq-20-tdi-scr-evo-style-4x4-dsg/AmFO4WSw31G/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,Am7UJzBdzzx,Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / ALU 19''+ ALU 18'',Škoda,Kodiaq,2.0 TDI,Diesel,2022,164051,147,Automatic,SUV,27311,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-alu-19-alu-18/Am7UJzBdzzx/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmYkH6_oRI_,Škoda Kodiaq 2.0TDI 110kW AT7 4x4,Škoda,Kodiaq,2.0 TDI,Diesel,2024,157000,110,Automatic,SUV,27990,https://www.autobazar.eu/detail/skoda-kodiaq-20tdi-110kw-at7-4x4/AmYkH6_oRI_/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmfI4fd00DE,Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / Webasto / Tažné / Matrix / Columbus / Race modrá,Škoda,Kodiaq,2.0 TDI,Diesel,2023,131583,147,Automatic,SUV,28053,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-webasto-tazne-matrix-columbus-race-modra/AmfI4fd00DE/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
autobazar,AmvvPA8AEz-,Škoda Kodiaq Style 2.0 TDI 147kW 4x4 DSG / Nezávislé topení / Tažné zařízení / Matrix LED / ...,Škoda,Kodiaq,2.0 TDI,Diesel,2023,131908,147,Automatic,SUV,28466,https://www.autobazar.eu/detail/skoda-kodiaq-style-20-tdi-147kw-4x4-dsg-nezavisle-topeni-tazne-zarizeni-matrix-led/AmvvPA8AEz-/,structured,structured,structured,structured,structured,structured,regex_title,match,match,n/a,match,match,n/a,n/a
