row_index,brand,model,variant,fuel,year,km,power_kw,inventory_price_eur,ab_comparable_count,ab_median_eur,ab_price_diff_pct,bz_comparable_count,bz_median_eur,bz_price_diff_pct,ab_vs_bz_pct_gap,median_spread_pct,rank_source,rank_price_diff_pct,confidence_flag,sample_sufficient,missing_critical_fields,ab_tier,bz_tier,confidence_reasons,ab_example_links,bz_example_links
7,Peugeot,2008,1.2 100HP Manual Allure,Petrol,2024,42385,74.0,13400,6,21490.0,37.6,3,15490.0,13.5,24.1,27.9,autobazar,37.6,LOW,True,none,moderate,broad,83% of comparables missing year/km; best sample n=6,https://www.autobazar.eu/detail/peugeot-2008-style-12-turbo-100-bvm6/Am8R3937wxy/ | https://www.autobazar.eu/detail/peugeot-2008-style-12-turbo-100-bvm6/Amt2sq0z4sV/ | https://www.autobazar.eu/detail/peugeot-2008-allure-pack-12-puretech-100k-bvm6/AmFgoSU-YLz/,https://auto.bazos.sk/inzerat/194409350/peugeot-2008-12-puretech-130-gt-eat8-96kw130hp-a8.php | https://auto.bazos.sk/inzerat/194170883/peugeot-308-16-benzin.php | https://auto.bazos.sk/inzerat/193237967/peugeot-2008-15-bluehdi-54-380-km-odpocet-dph.php
44,Nissan,Qashqai,1.2 114HP Manual Acenta,Petrol,2016,110000,84.0,6400,4,10100.0,36.6,2,8800.0,27.3,9.3,12.9,autobazar,36.6,MEDIUM,True,none,moderate,broad,"single usable source (AB 4/BZ 2); no cross-check; sample n=4, data complete",https://www.autobazar.eu/detail/nissan-qashqai-12-dig-t-acenta-xtronic-85kw115hp-a1/Ae6eUmDQMzX/ | https://www.autobazar.eu/detail/nissan-qashqai-12-dig-t-tekna-85kw115hp-m6/AeFVNHsBzoV/ | https://www.autobazar.eu/detail/nissan-qashqai-dig-t-115-tekna-xtronic-85kw115hp-a1/AesMvkbI9WC/,https://auto.bazos.sk/inzerat/194042303/predam-nissan-qashqai-12-dig-t.php | https://auto.bazos.sk/inzerat/194449671/nissan-qashqai-12-benz-automat.php
36,Nissan,Qashqai,1.2 114HP Manual Visia,Petrol,2017,103480,84.0,6500,4,10100.0,35.6,2,8800.0,26.1,9.5,12.9,autobazar,35.6,MEDIUM,True,none,broad,broad,"single usable source (AB 4/BZ 2); no cross-check; sample n=4, data complete",https://www.autobazar.eu/detail/nissan-qashqai-12-dig-t-acenta-xtronic-85kw115hp-a1/Ae6eUmDQMzX/ | https://www.autobazar.eu/detail/nissan-qashqai-12-dig-t-tekna-85kw115hp-m6/AeFVNHsBzoV/ | https://www.autobazar.eu/detail/nissan-qashqai-dig-t-115-tekna-xtronic-85kw115hp-a1/AesMvkbI9WC/,https://auto.bazos.sk/inzerat/194042303/predam-nissan-qashqai-12-dig-t.php | https://auto.bazos.sk/inzerat/194449671/nissan-qashqai-12-benz-automat.php
47,Fiat,500X,1.0 119HP Manual Cross,Petrol,2018,141619,88.0,6500,10,9895.0,34.3,3,9600.0,32.3,2.0,3.0,autobazar,34.3,MEDIUM,True,none,broad,moderate,"single usable source (AB 10/BZ 3); no cross-check; sample n=10, data complete",https://www.autobazar.eu/detail/fiat-500x-10-l-cross/Aemf35xa4Taz/ | https://www.autobazar.eu/detail/fiat-500x-14-multiair-klima-tempomat/AeOlITxrz_C/ | https://www.autobazar.eu/detail/fiat-500x-14-multiair-cross/AmyxiN-dj4u/,https://auto.bazos.sk/inzerat/194431739/fiat-500x-10-firefly-edice-mirror-krasavec.php | https://auto.bazos.sk/inzerat/194285493/fiat-500x-16-81kw-pop-star-2017-navi-digklima.php | https://auto.bazos.sk/inzerat/193988015/fiat-500x-16-pop-star-81-kw-top-km-park-senzory.php
33,BMW,X3,2.0 249HP Automatic xDrive 30i,Petrol,2019,139900,183.0,20000,2,29745.0,32.8,1,26490.0,24.5,8.3,10.9,autobazar,32.8,INSUFFICIENT,False,none,broad,broad,"no source reaches 4 comparables (AB n=2, BZ n=1)",https://www.autobazar.eu/detail/bmw-x3-xdrive30i-m-sport-at-185kw252hp-a8/AeazTplwzOQ/ | https://www.autobazar.eu/detail/bmw-x3-xdrive30i-2018-185kw-harman-kardon-xline/AmL5MclIzrE/,https://auto.bazos.sk/inzerat/192852073/bmw-x3-xdrive30d-luxury-line-at-195kw-rv-072019.php
32,Toyota,Auris,1.8  Automatic H2 Comfort,Hybrid,2018,282000,,7800,6,11450.0,31.9,1,10000.0,22.0,9.9,12.7,autobazar,31.9,MEDIUM,True,none,broad,broad,"single usable source (AB 6/BZ 1); no cross-check; sample n=6, data complete",https://www.autobazar.eu/detail/toyota-auris-18-i-vvt-i-hybridsd-executive-73kw99hp-a1-aj-na-splatky-protiucet/AmIFjzn5uJG/ | https://www.autobazar.eu/detail/toyota-auris-18-i-vvt-i-hybridsd-active-family-73kw99hp-a1/Ae4sVj12Z3P/ | https://www.autobazar.eu/detail/toyota-auris-hybrid-automat-kuze-tempomat/AmBmYGS_GIp/,https://auto.bazos.sk/inzerat/194370682/toyota-auris-combi-18-hybrid.php
9,Seat,Toledo,"1,2 TSI Style Start/Stop 110HK 5d 6g",Petrol,2016,160000,81.0,4500,6,6450.0,30.2,0,,,,,autobazar,30.2,MEDIUM,True,none,moderate,broad,"single usable source (AB 6/BZ 0); no cross-check; sample n=6, data complete",https://www.autobazar.eu/detail/seat-toledo-12-tsi-reference/AeN3O4rSnJ2/ | https://www.autobazar.eu/detail/seat-toledo-12-tsi-servkniha-park-senzory/AmnEOHys0iu/ | https://www.autobazar.eu/detail/seat-toledo-12-tsi-servkniha-klima-po-stk/AehBhD_QSWr/,
72,Mazda,Cx-5,2.0 163HP Manual Optimum,Petrol,2018,137000,120.0,14200,6,20225.0,29.8,4,17649.5,19.5,10.3,12.7,autobazar,29.8,HIGH,True,none,broad,moderate,both sources usable (AB 6/BZ 4); median spread 13% <= 15%; inventory + comparable data complete,https://www.autobazar.eu/detail/mazda-cx-5-25-skyactiv-g194-revolution-top-awd-at/AmAXJ_BUaFv/ | https://www.autobazar.eu/detail/mazda-cx-5-20-skyactiv-g165-revolution/Am9ZkdXHYPL/ | https://www.autobazar.eu/detail/mazda-cx-5-25-skyactiv-g194-attraction-at/AmSckmBGhO6/,https://auto.bazos.sk/inzerat/194336903/mazda-cx-5.php | https://auto.bazos.sk/inzerat/194430475/mazda-cx-5-22-skyactiv-d-110kw-rv2020.php | https://auto.bazos.sk/inzerat/194364769/mazda-cx-5-22-skyactiv-d150-attraction.php
53,Audi,Q2,1.5 148HP Automatic 35 TFSI,Petrol,2020,158266,109.0,12000,9,16990.0,29.4,2,14990.0,19.9,9.5,11.8,autobazar,29.4,MEDIUM,True,none,broad,broad,"single usable source (AB 9/BZ 2); no cross-check; sample n=9, data complete",https://www.autobazar.eu/detail/audi-q2-14-tfsi-s-line-110kw-black-edition-2017/AmyCMcPR6TP/ | https://www.autobazar.eu/detail/audi-q2-14-tfsi-cod-s-tronic-sport-110kw150hp-a7/AeLe2WTEQJB/ | https://www.autobazar.eu/detail/audi-q2-15/Aetd14zEsby/,https://auto.bazos.sk/inzerat/193325471/audi-q2-sport-14-tsi.php | https://auto.bazos.sk/inzerat/194461202/audi-q2-35-tfsi-s-edition-automatic.php
79,Mazda,Cx-5,2.0 163HP Manual Optimum,Petrol,2019,159000,120.0,14800,7,20800.0,28.8,4,17649.5,16.1,12.7,15.1,autobazar,28.8,MEDIUM,True,none,broad,moderate,"moderate source disagreement 15%; sample n=7, data complete",https://www.autobazar.eu/detail/mazda-cx-5-25-skyactiv-g194-revolution-top-awd-at/AmAXJ_BUaFv/ | https://www.autobazar.eu/detail/mazda-cx-5-20-skyactiv-g165-revolution/Am9ZkdXHYPL/ | https://www.autobazar.eu/detail/mazda-cx-5-25-skyactiv-g194-attraction-at/AmSckmBGhO6/,https://auto.bazos.sk/inzerat/194336903/mazda-cx-5.php | https://auto.bazos.sk/inzerat/194430475/mazda-cx-5-22-skyactiv-d-110kw-rv2020.php | https://auto.bazos.sk/inzerat/194364769/mazda-cx-5-22-skyactiv-d150-attraction.php
